PK_TRANSACAO,FK_CONTA,FK_CLIENTE,FK_AGENCIA,FK_COLABORADOR,NUMERO_TRANSACAO,TS_TRANSACAO,NOME_TRANSACAO,TIPO_TRASACAO,VALOR_TRANSACAO
32,32,32,8,69,32,2019-02-16T05:55:28.231Z,Depósito em espécie,Crédito,24.3
33,33,33,9,93,33,2020-01-03T02:51:46.659Z,TED - Recebido,Crédito,1741.0
34,34,34,2,78,34,2014-12-06T17:45:29.527Z,Depósito em espécie,Crédito,39.0
35,35,35,7,100,35,2018-09-28T16:12:04.509Z,Depósito em espécie,Crédito,361.5
36,36,36,7,14,36,2020-01-20T05:34:15.180Z,Depósito em espécie,Crédito,157.5
37,37,37,3,98,37,2012-06-10T13:35:00.544Z,Depósito em espécie,Crédito,273.3
38,38,38,3,13,38,2021-07-22T11:45:35.383Z,Depósito em espécie,Crédito,542.1
39,39,39,2,84,39,2015-01-07T20:59:54.662Z,Depósito em espécie,Crédito,98.7
40,40,40,7,7,40,2020-06-26T00:06:21.819Z,Depósito em espécie,Crédito,157.6
41,41,41,1,32,41,2020-08-06T04:55:44.666Z,Depósito em espécie,Crédito,93.3
42,42,42,7,14,42,2021-08-20T05:02:29.482Z,TED - Recebido,Crédito,1041.0
43,43,43,6,28,43,2016-04-12T11:49:42.244Z,Depósito em espécie,Crédito,332.2
44,44,44,9,59,44,2020-08-10T06:16:06.659Z,Depósito em espécie,Crédito,123.6
45,45,45,3,91,45,2015-12-01T08:31:02.197Z,Depósito em espécie,Crédito,841.8
46,46,46,7,33,46,2019-03-01T05:48:54.232Z,Depósito em espécie,Crédito,86.5
47,47,47,1,11,47,2012-01-06T20:01:29.816Z,Depósito em espécie,Crédito,88.3
48,48,48,7,100,48,2022-11-19T05:54:45.882Z,Depósito em espécie,Crédito,89.1
49,49,49,7,100,49,2021-05-13T00:01:46.986Z,Depósito em espécie,Crédito,237.7
50,50,50,1,18,50,2020-03-09T07:11:05.968Z,TED - Recebido,Crédito,1247.0
51,51,51,3,13,51,2013-05-24T03:22:50.849Z,Depósito em espécie,Crédito,130.8
52,52,52,7,7,52,2019-08-25T12:10:24.144Z,Depósito em espécie,Crédito,84.2
53,53,53,5,63,53,2022-10-20T23:33:58.766Z,TED - Recebido,Crédito,116.0
54,54,54,1,26,54,2015-01-24T09:22:08.952Z,TED - Recebido,Crédito,844.0
55,55,55,8,47,55,2021-09-14T10:40:57.598Z,Depósito em espécie,Crédito,60.2
56,56,56,7,7,56,2020-10-05T01:11:58.013Z,Depósito em espécie,Crédito,16.5
57,57,57,2,84,57,2013-03-13T20:38:37.822Z,Depósito em espécie,Crédito,71.2
58,58,58,1,80,58,2014-05-07T21:43:44.874Z,TED - Recebido,Crédito,696.0
59,59,59,3,98,59,2019-07-11T17:14:38.905Z,Depósito em espécie,Crédito,58.8
60,60,60,7,33,60,2018-06-25T06:41:51.593Z,Depósito em espécie,Crédito,73.8
61,61,61,1,11,61,2013-01-25T16:15:40.479Z,Depósito em espécie,Crédito,262.6
62,62,62,2,82,62,2018-06-06T07:45:11.587Z,Depósito em espécie,Crédito,159.9
63,63,63,1,26,63,2013-10-11T06:05:10.581Z,Depósito em espécie,Crédito,90.3
64,64,64,7,100,64,2022-04-29T07:52:54.746Z,Depósito em espécie,Crédito,39.4
65,65,65,7,7,65,2021-05-18T17:16:35.426Z,Depósito em espécie,Crédito,325.6
66,66,66,7,33,66,2018-11-20T13:40:18.694Z,Depósito em espécie,Crédito,42.3
67,67,67,9,46,67,2020-11-27T08:35:20.525Z,TED - Recebido,Crédito,944.0
68,68,68,8,5,68,2021-12-09T21:10:01.707Z,Depósito em espécie,Crédito,45.5
69,69,69,2,90,69,2019-12-01T11:18:51.253Z,Depósito em espécie,Crédito,74.5
70,70,70,6,88,70,2017-08-29T22:43:41.669Z,Depósito em espécie,Crédito,116.5
71,71,71,8,5,71,2021-10-04T04:19:30.092Z,Depósito em espécie,Crédito,127.6
72,72,72,7,100,72,2022-08-29T22:07:36.066Z,Depósito em espécie,Crédito,257.3
73,73,73,3,73,73,2022-08-10T01:16:19.964Z,Depósito em espécie,Crédito,31.6
74,74,74,7,14,74,2018-06-11T21:41:00.884Z,TED - Recebido,Crédito,4414.0
75,75,75,1,32,75,2011-11-17T13:41:01.932Z,Depósito em espécie,Crédito,288.4
76,76,76,1,60,76,2014-08-08T03:48:39.827Z,Depósito em espécie,Crédito,241.2
77,77,77,7,100,77,2017-10-15T03:04:10.704Z,TED - Recebido,Crédito,1426.0
78,78,78,7,42,78,2022-09-01T09:22:26.802Z,Depósito em espécie,Crédito,150.2
79,79,79,4,35,79,2014-01-21T14:36:02.335Z,Depósito em espécie,Crédito,395.4
80,80,80,7,71,80,2017-12-13T11:27:41.653Z,Depósito em espécie,Crédito,305.9
81,81,81,7,71,81,2020-02-01T05:51:51.804Z,Depósito em espécie,Crédito,426.8
82,82,82,10,25,82,2022-03-05T06:52:30.734Z,Depósito em espécie,Crédito,413.4
83,83,83,7,14,83,2021-12-20T11:38:12.102Z,TED - Recebido,Crédito,1871.0
84,84,84,7,42,84,2019-11-17T09:40:48.201Z,TED - Recebido,Crédito,1838.0
85,85,85,7,14,85,2020-12-04T21:52:04.761Z,Depósito em espécie,Crédito,48.1
86,86,86,5,34,86,2021-08-16T08:25:40.553Z,Depósito em espécie,Crédito,380.0
87,87,87,7,100,87,2020-12-25T15:18:24.696Z,Depósito em espécie,Crédito,515.7
88,88,88,7,71,88,2018-09-13T18:02:57.217Z,TED - Recebido,Crédito,1663.0
89,89,89,4,57,89,2022-10-23T09:33:41.620Z,Depósito em espécie,Crédito,257.8
90,90,90,1,11,90,2014-12-04T01:22:37.437Z,Depósito em espécie,Crédito,130.1
91,91,91,7,14,91,2020-01-09T06:38:59.219Z,Depósito em espécie,Crédito,194.8
92,92,92,7,7,92,2022-03-31T14:21:02.597Z,TED - Recebido,Crédito,8599.0
93,93,93,1,92,93,2020-05-15T17:01:57.495Z,Depósito em espécie,Crédito,52.0
94,94,94,9,87,94,2020-09-23T19:46:52.286Z,TED - Recebido,Crédito,2159.0
95,95,95,7,14,95,2021-12-08T18:11:32.037Z,Depósito em espécie,Crédito,455.2
96,96,96,7,71,96,2021-09-01T21:38:03.329Z,Depósito em espécie,Crédito,133.5
97,97,97,3,13,97,2017-04-24T07:09:18.223Z,Depósito em espécie,Crédito,169.9
98,98,98,2,78,98,2015-06-13T03:23:10.613Z,TED - Recebido,Crédito,1804.0
99,99,99,7,7,99,2021-06-01T01:45:08.436Z,Depósito em espécie,Crédito,1082.0
100,100,100,7,100,100,2020-07-13T14:16:05.448Z,Depósito em espécie,Crédito,76.9
101,101,101,7,71,101,2019-01-27T11:07:20.988Z,Depósito em espécie,Crédito,252.2
102,102,102,7,7,102,2021-05-15T11:47:41.630Z,Depósito em espécie,Crédito,440.6
103,103,103,7,42,103,2017-04-11T15:44:55.471Z,Depósito em espécie,Crédito,1009.8
104,104,104,3,91,104,2019-01-21T22:03:35.240Z,TED - Recebido,Crédito,387.0
105,105,105,7,7,105,2016-05-16T04:34:26.195Z,Depósito em espécie,Crédito,67.2
106,106,106,6,44,106,2017-09-29T13:42:22.661Z,TED - Recebido,Crédito,1853.0
107,107,107,7,14,107,2022-10-02T04:35:01.288Z,Depósito em espécie,Crédito,656.3
108,108,108,3,31,108,2020-02-27T21:12:54.090Z,Depósito em espécie,Crédito,126.6
109,109,109,7,100,109,2022-02-08T18:34:19.755Z,Depósito em espécie,Crédito,208.1
110,110,110,3,31,110,2013-07-07T13:08:38.059Z,TED - Recebido,Crédito,813.0
111,111,111,7,33,111,2021-08-25T05:16:45.831Z,Depósito em espécie,Crédito,945.8
112,112,112,4,19,112,2022-11-11T10:40:06.983Z,Depósito em espécie,Crédito,65.1
113,113,113,7,100,113,2022-03-09T22:15:16.871Z,TED - Recebido,Crédito,1570.0
114,114,114,7,33,114,2020-03-30T03:49:56.131Z,Depósito em espécie,Crédito,53.8
115,115,115,2,84,115,2020-04-25T10:26:36.549Z,Depósito em espécie,Crédito,270.9
116,116,116,4,45,116,2014-03-28T13:25:00.877Z,Depósito em espécie,Crédito,140.2
117,117,117,4,57,117,2014-10-19T05:39:54.900Z,Depósito em espécie,Crédito,42.7
118,118,118,1,32,118,2018-11-06T12:14:15.443Z,Depósito em espécie,Crédito,122.2
119,119,119,6,88,119,2016-06-13T09:47:31.280Z,Depósito em espécie,Crédito,136.3
120,120,120,2,82,120,2019-03-20T10:10:20.217Z,Depósito em espécie,Crédito,41.5
121,121,121,7,71,121,2017-04-20T09:33:31.253Z,Depósito em espécie,Crédito,37.3
122,122,122,7,100,122,2018-01-29T20:06:21.710Z,Depósito em espécie,Crédito,85.9
123,123,123,4,57,123,2014-08-13T04:45:03.801Z,Depósito em espécie,Crédito,21.1
124,124,124,7,71,124,2016-05-23T16:08:32.477Z,Depósito em espécie,Crédito,131.9
125,125,125,1,61,125,2019-07-09T01:23:10.009Z,Depósito em espécie,Crédito,119.4
126,126,126,7,42,126,2015-08-22T06:14:04.638Z,Depósito em espécie,Crédito,662.3
127,127,127,5,34,127,2015-08-22T04:27:11.096Z,Depósito em espécie,Crédito,148.8
128,128,128,8,6,128,2018-10-10T23:34:18.360Z,TED - Recebido,Crédito,594.0
129,129,129,1,32,129,2022-07-15T17:05:49.275Z,Depósito em espécie,Crédito,93.3
130,130,130,3,16,130,2014-06-26T06:23:53.224Z,Depósito em espécie,Crédito,125.7
131,131,131,1,60,131,2010-01-30T14:08:21.479Z,Depósito em espécie,Crédito,112.0
132,132,132,7,14,132,2021-03-21T12:26:16.297Z,TED - Recebido,Crédito,2520.0
133,133,133,9,93,133,2020-02-02T16:33:52.303Z,Depósito em espécie,Crédito,507.8
134,134,134,5,43,134,2019-07-17T02:01:19.184Z,Depósito em espécie,Crédito,55.1
135,135,135,1,75,135,2020-11-09T12:31:20.580Z,Depósito em espécie,Crédito,104.0
136,136,136,6,44,136,2021-02-22T20:14:05.168Z,Depósito em espécie,Crédito,122.2
137,137,137,1,36,137,2019-04-02T02:37:58.679Z,Depósito em espécie,Crédito,453.1
138,138,138,2,84,138,2014-08-20T18:32:48.623Z,Depósito em espécie,Crédito,726.7
139,139,139,6,22,139,2016-03-24T21:59:28.300Z,TED - Recebido,Crédito,3480.0
140,140,140,6,22,140,2022-05-15T05:01:33.875Z,Depósito em espécie,Crédito,185.9
141,141,141,7,42,141,2022-03-26T14:42:02.177Z,Depósito em espécie,Crédito,86.4
142,142,142,2,81,142,2011-07-18T16:28:25.642Z,Depósito em espécie,Crédito,145.2
143,143,143,7,7,143,2021-04-04T02:23:03.140Z,Depósito em espécie,Crédito,125.3
144,144,144,7,14,144,2018-07-19T08:24:07.323Z,Depósito em espécie,Crédito,74.3
145,145,145,3,31,145,2022-10-20T22:05:37.436Z,Depósito em espécie,Crédito,301.9
146,146,146,1,80,146,2011-04-06T12:51:12.095Z,TED - Recebido,Crédito,1235.0
147,147,147,7,42,147,2019-03-11T03:02:09.332Z,Depósito em espécie,Crédito,228.5
148,148,148,9,93,148,2020-01-12T03:07:41.625Z,Depósito em espécie,Crédito,149.9
149,149,149,7,33,149,2022-03-09T04:11:12.535Z,Depósito em espécie,Crédito,33.9
150,150,150,3,31,150,2020-02-08T05:48:19.429Z,Depósito em espécie,Crédito,50.4
151,151,151,7,100,151,2016-08-02T15:01:36.716Z,Depósito em espécie,Crédito,184.6
152,152,152,7,42,152,2022-11-25T10:04:44.875Z,Depósito em espécie,Crédito,192.2
153,153,153,4,1,153,2021-02-13T21:01:32.649Z,Depósito em espécie,Crédito,50.2
154,154,154,7,33,154,2018-05-18T17:41:38.796Z,TED - Recebido,Crédito,1267.0
155,155,155,3,16,155,2020-02-06T02:32:07.688Z,Depósito em espécie,Crédito,133.9
156,156,156,2,9,156,2012-04-29T18:16:37.029Z,Depósito em espécie,Crédito,718.9
157,157,157,1,80,157,2012-07-11T14:57:26.450Z,TED - Recebido,Crédito,1006.0
158,158,158,5,67,158,2021-10-16T03:55:19.852Z,TED - Recebido,Crédito,11769.0
159,159,159,7,7,159,2018-12-23T23:51:48.463Z,Depósito em espécie,Crédito,216.7
160,160,160,3,98,160,2013-04-04T07:52:48.620Z,Depósito em espécie,Crédito,222.7
161,161,161,6,44,161,2019-10-25T01:58:56.037Z,Depósito em espécie,Crédito,49.9
162,162,162,7,42,162,2022-12-18T09:03:02.902Z,Depósito em espécie,Crédito,327.2
163,163,163,2,84,163,2022-06-01T03:41:27.771Z,Depósito em espécie,Crédito,227.4
164,164,164,8,23,164,2021-01-10T13:01:11.653Z,Depósito em espécie,Crédito,127.9
165,165,165,7,42,165,2020-08-15T22:42:32.640Z,TED - Recebido,Crédito,755.0
166,166,166,7,14,166,2021-01-16T20:39:34.156Z,Depósito em espécie,Crédito,371.9
167,167,167,7,7,167,2018-10-05T17:07:07.545Z,TED - Recebido,Crédito,820.0
168,168,168,7,100,168,2018-05-01T01:32:21.951Z,Depósito em espécie,Crédito,807.7
169,169,169,3,91,169,2020-03-27T14:47:09.991Z,Depósito em espécie,Crédito,26.1
170,170,170,7,100,170,2021-11-03T01:09:38.620Z,Depósito em espécie,Crédito,78.3
171,171,171,7,33,171,2020-05-15T01:49:41.072Z,Depósito em espécie,Crédito,426.3
172,172,172,7,42,172,2017-01-21T18:14:42.640Z,Depósito em espécie,Crédito,184.2
173,173,173,1,60,173,2014-02-23T02:48:50.735Z,Depósito em espécie,Crédito,354.0
174,174,174,8,52,174,2018-05-31T09:44:05.365Z,Depósito em espécie,Crédito,122.2
175,175,175,3,13,175,2012-12-15T14:01:02.499Z,Depósito em espécie,Crédito,224.2
176,176,176,4,35,176,2018-03-28T06:45:41.980Z,Depósito em espécie,Crédito,54.8
177,177,177,3,16,177,2012-05-21T16:11:53.698Z,Depósito em espécie,Crédito,254.9
178,178,178,9,20,178,2022-03-24T15:35:33.324Z,Depósito em espécie,Crédito,336.4
179,179,179,3,98,179,2012-10-09T09:28:43.489Z,Depósito em espécie,Crédito,50.1
180,180,180,7,71,180,2016-08-19T09:01:57.421Z,Depósito em espécie,Crédito,60.7
181,181,181,2,85,181,2011-10-04T07:28:14.592Z,Depósito em espécie,Crédito,134.2
182,182,182,4,45,182,2018-10-18T13:30:07.021Z,Depósito em espécie,Crédito,153.7
183,183,183,1,62,183,2019-06-01T20:39:12.207Z,Depósito em espécie,Crédito,166.7
184,184,184,5,49,184,2020-09-23T20:06:08.030Z,Depósito em espécie,Crédito,273.5
185,185,185,3,51,185,2015-03-10T23:58:51.041Z,Depósito em espécie,Crédito,173.3
186,186,186,5,2,186,2014-05-18T07:39:20.883Z,Depósito em espécie,Crédito,219.8
187,187,187,7,7,187,2016-11-01T09:09:58.805Z,Depósito em espécie,Crédito,58.1
188,188,188,8,10,188,2018-05-02T01:59:35.748Z,Depósito em espécie,Crédito,268.3
189,189,189,7,7,189,2019-08-08T10:32:00.124Z,Depósito em espécie,Crédito,365.9
190,190,190,7,14,190,2022-08-23T15:30:57.330Z,Depósito em espécie,Crédito,140.6
191,191,191,2,9,191,2016-08-09T02:14:37.407Z,Depósito em espécie,Crédito,112.6
192,192,192,7,14,192,2017-12-30T23:50:14.587Z,Depósito em espécie,Crédito,218.8
193,193,193,7,7,193,2017-03-22T20:40:57.691Z,Depósito em espécie,Crédito,16.3
194,194,194,9,46,194,2020-04-07T01:31:54.298Z,Depósito em espécie,Crédito,72.9
195,195,195,4,45,195,2015-06-23T05:14:40.658Z,TED - Recebido,Crédito,2929.0
196,196,196,3,91,196,2020-06-22T16:37:20.391Z,Depósito em espécie,Crédito,641.9
197,197,197,4,35,197,2020-04-25T03:50:59.327Z,Depósito em espécie,Crédito,149.8
198,198,198,1,61,198,2011-09-06T14:52:42.706Z,TED - Recebido,Crédito,1643.0
199,199,199,7,71,199,2019-03-16T10:48:49.690Z,Depósito em espécie,Crédito,241.8
200,200,200,2,82,200,2020-08-13T20:58:02.805Z,Depósito em espécie,Crédito,40.8
201,201,201,7,71,201,2022-04-26T15:53:03.435Z,TED - Recebido,Crédito,272.0
202,202,202,7,100,202,2016-12-25T10:08:22.197Z,Depósito em espécie,Crédito,40.7
203,203,203,7,7,203,2022-04-17T20:05:12.669Z,Depósito em espécie,Crédito,74.4
204,204,204,7,100,204,2019-03-28T10:21:39.697Z,Depósito em espécie,Crédito,534.7
205,205,205,5,55,205,2019-06-23T19:26:45.301Z,TED - Recebido,Crédito,1029.0
206,206,206,7,33,206,2018-09-17T13:09:34.035Z,Depósito em espécie,Crédito,187.1
207,207,207,4,57,207,2017-08-09T16:13:13.284Z,Depósito em espécie,Crédito,251.2
208,208,208,4,35,208,2018-11-28T11:42:43.225Z,Depósito em espécie,Crédito,453.0
209,209,209,7,14,209,2016-10-25T07:52:56.930Z,TED - Recebido,Crédito,1683.0
210,210,210,3,91,210,2012-04-18T19:04:57.050Z,Depósito em espécie,Crédito,52.6
211,211,211,9,59,211,2022-08-20T12:03:35.557Z,Depósito em espécie,Crédito,636.5
212,212,212,7,14,212,2022-06-29T17:17:13.408Z,Depósito em espécie,Crédito,149.6
213,213,213,7,100,213,2020-03-16T19:32:55.154Z,Depósito em espécie,Crédito,265.3
214,214,214,3,98,214,2013-09-30T11:01:54.069Z,Depósito em espécie,Crédito,208.8
215,215,215,9,12,215,2021-04-02T23:43:50.576Z,Depósito em espécie,Crédito,42.3
216,216,216,1,26,216,2011-12-25T17:27:11.414Z,Depósito em espécie,Crédito,904.3
217,217,217,4,57,217,2013-12-01T18:05:14.045Z,TED - Recebido,Crédito,4362.0
218,218,218,5,15,218,2015-07-23T14:52:28.303Z,Depósito em espécie,Crédito,289.6
219,219,219,7,14,219,2019-07-01T20:05:02.345Z,Depósito em espécie,Crédito,92.4
220,220,220,4,19,220,2015-06-09T02:35:28.573Z,Depósito em espécie,Crédito,111.5
221,221,221,4,45,221,2018-07-26T16:44:34.647Z,TED - Recebido,Crédito,396.0
222,222,222,6,22,222,2016-07-03T16:29:59.627Z,TED - Recebido,Crédito,906.0
223,223,223,7,14,223,2020-06-16T12:54:47.454Z,Depósito em espécie,Crédito,214.6
224,224,224,7,7,224,2021-11-22T18:59:31.143Z,TED - Recebido,Crédito,1015.0
225,225,225,4,57,225,2016-12-15T20:44:35.351Z,Depósito em espécie,Crédito,108.3
226,226,226,4,35,226,2021-11-06T21:44:25.548Z,Depósito em espécie,Crédito,256.8
227,227,227,3,16,227,2017-08-07T11:34:57.054Z,Depósito em espécie,Crédito,147.1
228,228,228,1,80,228,2015-07-07T04:29:30.436Z,TED - Recebido,Crédito,301.0
229,229,229,7,14,229,2019-12-12T09:19:05.462Z,Depósito em espécie,Crédito,74.4
230,230,230,7,7,230,2020-11-05T01:48:00.425Z,Depósito em espécie,Crédito,280.5
231,231,231,7,14,231,2017-06-09T02:22:31.668Z,TED - Recebido,Crédito,5027.0
232,232,232,5,15,232,2022-06-01T02:44:44.463Z,Depósito em espécie,Crédito,34.7
233,233,233,4,57,233,2016-08-29T11:07:44.830Z,Depósito em espécie,Crédito,30.0
234,234,234,5,49,234,2020-05-04T14:51:54.945Z,TED - Recebido,Crédito,1862.0
235,235,235,2,94,235,2013-06-30T08:57:08.425Z,TED - Recebido,Crédito,1239.0
236,236,236,4,19,236,2016-06-08T16:57:30.609Z,Depósito em espécie,Crédito,150.1
237,237,237,2,95,237,2019-12-18T21:08:53.455Z,Depósito em espécie,Crédito,475.5
238,238,238,6,48,238,2021-12-12T03:05:08.721Z,TED - Recebido,Crédito,2859.0
239,239,239,6,88,239,2022-03-01T09:42:29.489Z,TED - Recebido,Crédito,630.0
240,240,240,7,14,240,2020-09-22T20:26:39.156Z,Depósito em espécie,Crédito,476.4
241,241,241,5,15,241,2020-10-18T17:59:44.483Z,TED - Recebido,Crédito,2105.0
242,242,242,7,14,242,2018-12-18T11:53:53.311Z,Depósito em espécie,Crédito,156.9
243,243,243,5,49,243,2021-05-17T02:12:20.065Z,Depósito em espécie,Crédito,39.6
244,244,244,7,14,244,2019-03-13T08:57:24.153Z,TED - Recebido,Crédito,2735.0
245,245,245,6,54,245,2018-04-11T19:38:39.445Z,TED - Recebido,Crédito,8784.0
246,246,246,2,86,246,2013-01-11T18:39:04.959Z,Depósito em espécie,Crédito,333.2
247,247,247,7,42,247,2015-10-10T08:28:35.170Z,TED - Recebido,Crédito,2792.0
248,248,248,7,14,248,2020-02-25T20:55:16.951Z,Depósito em espécie,Crédito,82.1
249,249,249,2,24,249,2016-12-03T22:26:56.715Z,Depósito em espécie,Crédito,166.9
250,250,250,5,55,250,2016-12-29T08:59:45.293Z,Depósito em espécie,Crédito,232.3
251,251,251,5,63,251,2017-09-02T18:22:44.749Z,Depósito em espécie,Crédito,781.5
252,252,252,7,71,252,2022-05-06T23:11:58.196Z,Depósito em espécie,Crédito,474.8
253,253,253,7,14,253,2017-12-24T03:20:27.319Z,Depósito em espécie,Crédito,234.9
254,254,254,7,100,254,2022-10-22T18:53:03.173Z,Depósito em espécie,Crédito,414.3
255,255,255,7,100,255,2019-03-06T15:55:52.532Z,Depósito em espécie,Crédito,591.2
256,256,256,7,42,256,2021-10-16T13:19:38.147Z,Depósito em espécie,Crédito,474.8
257,257,257,1,60,257,2011-02-10T01:54:13.544Z,Depósito em espécie,Crédito,103.4
258,258,258,8,41,258,2019-06-11T15:12:21.711Z,Depósito em espécie,Crédito,83.5
259,259,259,3,51,259,2020-07-28T21:11:02.072Z,TED - Recebido,Crédito,8089.0
260,260,260,7,7,260,2021-04-22T00:47:15.377Z,TED - Recebido,Crédito,1205.0
261,261,261,2,70,261,2012-01-29T16:39:44.627Z,Depósito em espécie,Crédito,26.2
262,262,262,7,7,262,2022-11-30T11:43:34.775Z,Depósito em espécie,Crédito,191.7
263,263,263,1,36,263,2013-04-08T09:34:34.213Z,Depósito em espécie,Crédito,359.1
264,264,264,7,71,264,2022-01-23T12:17:01.959Z,Depósito em espécie,Crédito,116.1
265,265,265,7,42,265,2016-12-25T06:54:37.060Z,TED - Recebido,Crédito,1113.0
266,266,266,7,100,266,2018-06-25T09:21:30.608Z,Depósito em espécie,Crédito,305.6
267,267,267,6,22,267,2020-04-18T07:25:08.754Z,Depósito em espécie,Crédito,153.2
268,268,268,4,19,268,2018-03-16T04:10:24.919Z,Depósito em espécie,Crédito,299.8
269,269,269,5,63,269,2015-05-05T05:43:48.098Z,TED - Recebido,Crédito,413.0
270,270,270,2,95,270,2017-04-22T23:38:37.676Z,Depósito em espécie,Crédito,145.8
271,271,271,4,57,271,2022-09-14T12:25:49.407Z,TED - Recebido,Crédito,4998.0
272,272,272,2,24,272,2013-08-22T13:47:55.485Z,Depósito em espécie,Crédito,55.2
273,273,273,2,95,273,2022-07-31T08:28:00.198Z,TED - Recebido,Crédito,4097.0
274,274,274,4,19,274,2014-08-09T07:54:43.572Z,Depósito em espécie,Crédito,493.2
275,275,275,3,13,275,2015-03-07T02:53:25.633Z,Depósito em espécie,Crédito,31.3
276,276,276,5,15,276,2016-12-25T07:02:03.845Z,Depósito em espécie,Crédito,447.2
277,277,277,7,33,277,2022-11-23T09:59:46.472Z,Depósito em espécie,Crédito,221.4
278,278,278,4,57,278,2015-03-03T22:09:58.966Z,Depósito em espécie,Crédito,104.4
279,279,279,3,91,279,2023-01-04T01:41:16.776Z,Depósito em espécie,Crédito,280.8
280,280,280,7,100,280,2016-10-07T02:39:01.460Z,Depósito em espécie,Crédito,198.6
281,281,281,7,33,281,2019-08-03T10:51:40.347Z,Depósito em espécie,Crédito,124.8
282,282,282,7,42,282,2016-01-14T10:12:28.678Z,Depósito em espécie,Crédito,48.9
283,283,283,4,19,283,2015-01-28T19:04:41.586Z,TED - Recebido,Crédito,3791.0
284,284,284,2,70,284,2011-04-18T22:20:28.601Z,Depósito em espécie,Crédito,331.4
285,285,285,2,82,285,2015-07-27T23:30:46.598Z,Depósito em espécie,Crédito,139.4
286,286,286,7,71,286,2022-05-09T05:57:20.987Z,Depósito em espécie,Crédito,65.6
287,287,287,7,42,287,2018-12-03T19:06:21.092Z,Depósito em espécie,Crédito,58.3
288,288,288,7,33,288,2018-10-23T03:25:10.669Z,Depósito em espécie,Crédito,1201.4
289,289,289,1,26,289,2017-11-09T14:34:22.540Z,Depósito em espécie,Crédito,169.7
290,290,290,7,42,290,2022-02-25T20:17:13.998Z,TED - Recebido,Crédito,1173.0
291,291,291,3,98,291,2017-08-19T05:25:34.439Z,Depósito em espécie,Crédito,74.6
292,292,292,5,67,292,2015-01-21T04:54:44.408Z,TED - Recebido,Crédito,6288.0
293,293,293,6,44,293,2015-07-24T00:14:30.022Z,Depósito em espécie,Crédito,59.1
