PK_PROPOSTA,FK_CLIENTE,FK_COLABORADOR,FK_AGENCIA,NUMERO_PROPOSTA,TS_ENTRADA_PROPOSTA,TAXA_JUROS_MENSAL,VALOR_PROPOSTA,VALOR_FINANCIAMENTO,VALOR_ENTRADA,VALOR_PRESTACAO,QUANTIDADE_PARCELAS,CARENCIA,STATUS_PROPOSTA
45,637,84,2,45,2018-07-22T11:06:50.573Z,0.02019999921321869,73883.26,110148.29,36265.03,2100.28,62,3,Enviada
46,138,77,9,46,2022-12-16T11:08:30.531Z,0.015399999916553497,104989.65,181329.04,76339.39,2008.26,107,6,Em análise
47,628,79,10,47,2013-09-22T11:26:50.557Z,0.008999999612569809,77599.04,131746.98,54147.94,3360.73,26,2,Aprovada
48,914,52,8,48,2010-10-06T14:44:06.311Z,0.00800000037997961,11161.1,16197.36,5036.26,160.49,102,2,Validação documentos
49,841,46,9,49,2012-07-08T17:42:20.929Z,0.009999999776482582,85757.77,125553.08,39795.31,1330.17,104,0,Aprovada
50,705,92,1,50,2011-10-07T09:50:19.109Z,0.015799999237060547,4786.03,5856.34,1070.31,727.61,7,5,Aprovada
51,90,26,1,51,2019-07-16T15:37:42.048Z,0.024299999698996544,15741.28,19676.99,3935.71,1141.39,17,0,Enviada
52,390,57,4,52,2022-02-03T20:23:01.439Z,0.024399999529123306,10509.85,16081.28,5571.43,282.41,99,0,Validação documentos
53,555,71,7,53,2022-11-04T15:16:27.862Z,0.010999999940395355,81293.29,111370.83,30077.54,1418.34,91,2,Aprovada
54,21,58,5,54,2010-03-19T06:50:42.749Z,0.010300000198185444,54419.47,86228.97,31809.5,806.06,116,0,Validação documentos
55,104,26,1,55,2014-04-08T13:26:42.812Z,0.010900000110268593,107151.62,179969.87,72818.25,2360.01,63,2,Validação documentos
56,515,27,10,56,2016-10-07T00:17:49.720Z,0.014000000432133675,72810.34,121572.52,48762.18,6633.74,12,1,Validação documentos
57,122,47,8,57,2010-08-22T23:49:38.484Z,0.024700000882148743,88725.92,159148.62,70422.7,3048.75,52,4,Em análise
58,146,83,9,58,2016-03-18T02:20:52.013Z,0.024000000208616257,32581.61,62893.41,30311.8,841.01,112,0,Validação documentos
59,933,44,6,59,2019-06-26T22:45:38.700Z,0.024900000542402267,103737.08,203845.26,100108.18,2794.26,105,5,Aprovada
60,883,88,6,60,2014-12-21T20:12:17.353Z,0.023600000888109207,166219.07,197935.75,31716.68,5248.07,59,3,Enviada
61,364,71,7,61,2010-04-14T09:37:45.186Z,0.014800000004470348,90575.03,131286.33,40711.3,3263.61,36,4,Enviada
62,773,44,6,62,2011-05-26T13:18:09.124Z,0.018400000408291817,110441.19,132702.41,22261.22,2440.96,98,0,Enviada
63,133,77,9,63,2017-08-02T03:10:57.357Z,0.008500000461935997,138258.82,179292.15,41033.33,4822.36,33,3,Validação documentos
64,178,100,7,64,2022-06-19T05:08:19.550Z,0.008299999870359898,95978.21,126678.02,30699.81,19676.25,5,0,Aprovada
65,822,52,8,65,2018-01-21T22:12:36.390Z,0.014100000262260437,1063.64,1585.29,521.65,160.64,7,0,Aprovada
66,900,98,3,66,2012-01-07T14:59:07.746Z,0.015699999406933784,64973.95,122579.42,57605.47,1240.13,111,1,Em análise
67,35,16,3,67,2013-12-10T21:01:52.208Z,0.014100000262260437,170119.85,235105.82,64985.97,4176.5,61,6,Validação documentos
68,905,46,9,68,2019-01-16T10:58:04.366Z,0.008100000210106373,58718.99,72521.61,13802.62,1193.69,63,1,Enviada
69,538,21,9,69,2016-11-12T08:24:21.832Z,0.016499999910593033,146211.41,213880.7,67669.29,3784.47,62,6,Aprovada
70,567,93,9,70,2014-07-02T12:36:22.276Z,0.010599999688565731,90573.85,137168.86,46595.01,6995.64,14,0,Aprovada
71,550,6,8,71,2010-11-10T08:05:01.371Z,0.020500000566244125,73378.35,89338.64,15960.29,1726.63,101,2,Aprovada
72,661,71,7,72,2021-06-06T21:40:36.765Z,0.02239999920129776,127669.69,188209.35,60539.66,3299.26,91,3,Enviada
73,70,27,10,73,2013-01-04T23:03:36.085Z,0.01889999955892563,145925.12,189077.25,43152.13,6417.41,30,3,Validação documentos
74,418,55,5,74,2021-03-01T20:56:39.672Z,0.011900000274181366,84875.73,106121.35,21245.62,1777.42,71,2,Aprovada
75,281,59,9,75,2018-05-24T14:18:06.420Z,0.0203000009059906,73852.45,126751.27,52898.82,1650.18,119,4,Em análise
76,585,54,6,76,2017-01-01T22:49:58.446Z,0.017799999564886093,55321.23,83421.15,28099.92,1167.88,105,4,Aprovada
77,771,53,10,77,2018-08-31T02:17:23.102Z,0.016599999740719795,109956.47,176255.69,66299.22,2219.23,105,2,Em análise
78,63,23,8,78,2016-06-27T14:25:11.311Z,0.018200000748038292,118994.84,151979.65,32984.81,5182.51,30,1,Validação documentos
79,101,32,1,79,2013-11-15T20:38:30.570Z,0.020099999383091927,103942.27,130294.98,26352.71,12740.61,9,4,Em análise
80,700,68,9,80,2013-05-11T10:07:34.478Z,0.02419999986886978,66508.58,101063,34554.42,4601.76,18,0,Aprovada
81,939,79,10,81,2012-12-27T13:02:13.939Z,0.013299999758601189,68043.29,118841.01,50797.72,1486.93,71,3,Enviada
82,425,40,6,82,2010-07-08T07:46:30.759Z,0.010900000110268593,47047.15,90080.87,43033.72,3641.68,14,5,Aprovada
83,141,22,6,83,2014-03-07T22:08:58.235Z,0.009999999776482582,54060.02,83920.11,29860.09,1497.74,45,6,Aprovada
84,933,72,1,84,2016-04-20T21:24:19.004Z,0.017500000074505806,43726.6,83084.01,39357.41,1319.4,50,2,Enviada
85,222,47,8,85,2020-08-22T21:44:13.371Z,0.017899999395012856,54054.96,82490.34,28435.38,1903.97,40,1,Validação documentos
86,702,49,5,86,2018-10-28T01:23:20.197Z,0.01360000018030405,61741.57,108303.14,46561.57,1053.71,118,0,Enviada
87,830,35,4,87,2018-04-26T12:46:48.937Z,0.013899999670684338,114285.65,184254.79,69969.14,3489.61,44,0,Em análise
88,391,15,5,88,2012-12-19T08:36:53.732Z,0.01769999973475933,80454.91,127165.64,46710.73,1709.6,102,1,Enviada
89,632,50,5,89,2019-12-20T05:20:48.991Z,0.019099999219179153,104687.56,200871.45,96183.89,2920.46,61,1,Aprovada
90,205,27,10,90,2013-07-04T01:50:45.134Z,0.01720000058412552,132626.68,228060.12,95433.44,4257.6,45,0,Validação documentos
91,799,69,8,91,2015-12-11T21:01:25.724Z,0.013399999588727951,105425.03,150033.13,44608.1,1948.41,97,1,Validação documentos
92,26,80,1,92,2022-07-19T07:38:11.114Z,0.015200000256299973,151397.25,184627.78,33230.53,4344.81,50,1,Validação documentos
93,860,74,9,93,2021-11-16T21:57:09.046Z,0.013000000268220901,149492.35,184193.75,34701.4,2954.88,83,4,Enviada
94,862,16,3,94,2022-08-05T10:58:11.882Z,0.021800000220537186,36025.21,66100.1,30074.89,1041.8,65,3,Enviada
95,465,69,8,95,2010-11-08T15:57:15.624Z,0.020099999383091927,44730.82,58709.44,13978.62,11750.23,4,6,Em análise
96,860,63,5,96,2015-02-07T19:46:37.367Z,0.023499999195337296,159549.83,224631.51,65081.68,5347.42,52,2,Validação documentos
97,280,62,1,97,2010-02-11T01:25:51.898Z,0.008100000210106373,19543.38,23769.07,4225.69,435.49,56,3,Enviada
98,301,54,6,98,2010-07-10T10:35:54.235Z,0.02410000003874302,196512.11,249076.74,52564.63,8226.43,36,6,Validação documentos
99,508,87,9,99,2012-07-02T02:05:19.898Z,0.008799999952316284,76331.93,127994.99,51663.06,1512.82,67,5,Validação documentos
100,860,71,7,100,2010-12-01T10:57:44.028Z,0.01600000075995922,20080.18,26189.33,6109.15,1133.38,21,0,Enviada
101,553,45,4,101,2016-03-17T08:45:13.211Z,0.013700000010430813,170595.43,245688.99,75093.56,3368.2,87,1,Validação documentos
102,693,56,9,102,2011-11-08T07:54:14.512Z,0.01940000057220459,206287.89,246908.22,40620.33,5182.26,77,5,Enviada
103,896,26,1,103,2020-02-22T18:48:59.808Z,0.01209999993443489,26442.35,41421.42,14979.07,669.8,54,5,Enviada
104,877,1,4,104,2010-08-09T11:35:29.548Z,0.012600000016391277,45158.45,73573.95,28415.5,886.52,82,5,Validação documentos
105,351,2,5,105,2020-01-17T14:05:24.614Z,0.013199999928474426,29620.65,44454.28,14833.63,957.9,40,4,Em análise
106,704,54,6,106,2011-09-08T07:07:13.391Z,0.017500000074505806,30660.25,50998.15,20337.9,757.61,71,3,Aprovada
107,535,5,8,107,2017-08-06T14:39:33.977Z,0.016200000420212746,54500.37,80639.69,26139.32,2508.12,27,5,Em análise
108,857,52,8,108,2022-06-19T18:55:22.912Z,0.012400000356137753,153168.92,211316.71,58147.79,3446.12,65,4,Aprovada
109,427,22,6,109,2011-10-27T08:59:20.481Z,0.017100000753998756,36097.11,56859.33,20762.22,1324.61,37,2,Enviada
110,895,94,2,110,2020-06-27T11:40:17.085Z,0.022299999371170998,90956.52,138946.78,47990.26,2786.91,59,2,Aprovada
111,353,93,9,111,2014-07-21T03:25:50.241Z,0.022299999371170998,124714.95,237819.84,113104.89,5170.59,35,5,Enviada
112,798,15,5,112,2013-05-23T11:03:56.495Z,0.015399999916553497,5100.74,6272.49,1171.75,132.22,59,2,Validação documentos
113,979,13,3,113,2019-10-12T03:40:08.136Z,0.01489999983459711,69555.72,110163.41,40607.69,1448.39,85,2,Em análise
114,471,19,4,114,2018-03-29T01:23:45.372Z,0.014700000174343586,100177.95,151094.8,50916.85,2014.28,90,4,Enviada
115,29,56,9,115,2019-07-01T20:17:37.327Z,0.012500000186264515,46541.52,79607.38,33065.86,2179.19,25,1,Enviada
116,213,55,5,116,2012-03-06T19:30:06.926Z,0.02290000021457672,178916.08,244437.8,65521.72,4441,113,3,Aprovada
117,872,83,9,117,2012-01-24T06:34:58.434Z,0.024000000208616257,81471,104023.31,22552.31,4371.49,25,5,Aprovada
118,11,52,8,118,2013-02-17T18:06:43.297Z,0.015200000256299973,107640.44,151430.85,43790.41,2191.44,91,0,Aprovada
119,36,9,2,119,2020-05-22T13:07:21.490Z,0.016499999910593033,123589.79,167413.59,43823.8,2563.29,97,6,Aprovada
120,887,1,4,120,2019-10-08T07:30:30.618Z,0.012500000186264515,147199.51,179452.7,32253.19,3501.87,60,6,Aprovada
121,184,53,10,121,2016-02-25T01:13:11.136Z,0.021199999377131462,22886.03,42648.36,19762.33,638.52,68,3,Em análise
122,546,73,3,122,2022-08-14T11:21:22.841Z,0.017400000244379044,127042.52,217829.22,90786.7,17148.76,8,5,Enviada
123,775,9,2,123,2019-03-06T11:44:09.353Z,0.011500000022351742,54542.18,81635.86,27093.68,2613.58,24,6,Enviada
124,305,95,2,124,2014-03-26T04:28:27.681Z,0.024299999698996544,134110.21,171318.61,37208.4,3559.02,103,5,Aprovada
125,206,94,2,125,2019-10-29T00:33:43.218Z,0.019099999219179153,33365.29,46394.75,13029.46,755.59,98,1,Aprovada
126,161,21,9,126,2015-05-14T20:27:32.069Z,0.020999999716877937,1287.85,2542.86,1255.01,107.13,14,6,Enviada
127,159,96,6,127,2013-05-11T09:55:37.410Z,0.02239999920129776,24738.18,38004.55,13266.37,25292.32,1,1,Aprovada
128,703,82,2,128,2013-01-13T12:35:31.246Z,0.014800000004470348,27696.49,32646.39,4949.9,1019.61,35,3,Validação documentos
129,117,62,1,129,2016-04-12T08:14:08.617Z,0.024000000208616257,137601.09,165091.73,27490.64,5310.93,41,5,Em análise
130,93,42,7,130,2017-11-09T09:01:55.859Z,0.020899999886751175,73673.44,101122.54,27449.1,1885.57,82,0,Aprovada
131,372,35,4,131,2020-11-25T02:43:00.880Z,0.009100000374019146,82058.91,129512.92,47454.01,2748.26,35,1,Em análise
132,993,48,6,132,2022-07-20T15:50:10.723Z,0.021800000220537186,31622.91,57577.05,25954.14,831.19,82,0,Aprovada
133,155,97,10,133,2019-02-22T22:40:39.910Z,0.018699999898672104,98669.56,155260.39,56590.83,2457.5,75,0,Validação documentos
134,783,51,3,134,2016-04-26T09:46:34.075Z,0.024800000712275505,172272.78,221262.16,48989.38,4898.02,84,3,Enviada
135,392,90,2,135,2012-05-15T13:50:02.823Z,0.010200000368058681,36951.3,56757.2,19805.9,713.7,74,6,Em análise
136,174,90,2,136,2021-12-25T02:34:37.135Z,0.024399999529123306,128083.93,185261.99,57178.06,5937.41,31,2,Em análise
137,766,78,2,137,2011-12-29T06:05:53.667Z,0.020500000566244125,143855.98,190476.36,46620.38,5141.62,42,1,Em análise
138,161,83,9,138,2013-06-30T09:40:58.582Z,0.01810000091791153,171446.71,215617.8,44171.09,7859.28,28,1,Validação documentos
139,491,62,1,139,2011-10-08T13:06:48.781Z,0.023099999874830246,171559.84,223437.96,51878.12,9699.14,23,3,Em análise
140,924,31,3,140,2018-08-27T04:03:02.412Z,0.017400000244379044,20476.18,35469.86,14993.68,1274.9,19,2,Enviada
141,967,12,9,141,2012-12-30T14:29:49.387Z,0.016499999910593033,153016.34,199852.65,46836.31,3702.23,70,3,Aprovada
142,634,69,8,142,2015-02-05T19:11:45.722Z,0.012900000438094139,42206.61,67431.78,25225.17,726.44,108,0,Em análise
143,181,11,1,143,2013-02-08T17:13:51.698Z,0.02449999935925007,27721,33193.63,5472.63,720.59,118,0,Enviada
144,754,29,2,144,2020-03-05T23:32:40.320Z,0.012199999764561653,10267.6,19277.77,9010.17,163.4,120,4,Aprovada
145,314,14,7,145,2016-03-25T07:10:19.527Z,0.01889999955892563,106184.22,150593.82,44409.6,8195.98,15,5,Aprovada
146,706,80,1,146,2022-07-17T19:04:38.000Z,0.012900000438094139,39747.34,77307.01,37559.67,662.53,116,1,Validação documentos
147,421,36,1,147,2014-10-29T21:31:22.591Z,0.013500000350177288,4400.01,7066.35,2666.34,80.07,101,1,Enviada
148,834,74,9,148,2020-04-21T04:11:54.419Z,0.009800000116229057,115746.47,155684.1,39937.63,2148.04,77,3,Aprovada
149,326,69,8,149,2012-03-29T20:29:14.811Z,0.01769999973475933,33855.67,62520.86,28665.19,738.76,95,5,Aprovada
150,28,23,8,150,2016-07-17T01:30:39.735Z,0.021800000220537186,129080.23,241222.68,112142.45,3220.16,96,5,Validação documentos
151,554,15,5,151,2022-11-17T17:50:40.600Z,0.023499999195337296,106531.14,171773.04,65241.9,3861,45,4,Aprovada
152,888,61,1,152,2012-12-29T18:51:03.485Z,0.010400000028312206,135685.37,163881.15,28195.78,2738.42,70,1,Validação documentos
153,833,69,8,153,2015-02-12T13:36:08.039Z,0.012199999764561653,55750.22,74679.22,18929,4356.09,14,5,Validação documentos
154,510,12,9,154,2015-08-18T19:55:05.604Z,0.014600000344216824,31109.03,46749.49,15640.46,633.78,87,6,Em análise
155,977,16,3,155,2020-04-20T08:13:05.265Z,0.01600000075995922,65427.56,81493.73,16066.17,2151.38,42,3,Em análise
156,796,41,8,156,2019-03-16T09:33:55.499Z,0.023499999195337296,56977.94,72948.18,15970.24,1648.57,72,5,Em análise
157,973,57,4,157,2011-01-28T00:06:45.931Z,0.023099999874830246,194667.22,249996.69,55329.47,5291.89,83,1,Aprovada
158,562,3,1,158,2016-07-07T10:48:42.963Z,0.011800000444054604,11909.36,14858.34,2948.98,224.24,84,3,Aprovada
159,818,47,8,159,2016-11-19T01:39:18.691Z,0.015599999576807022,184235.59,248341.17,64105.58,5406.15,49,2,Enviada
160,35,77,9,160,2015-11-07T10:42:32.573Z,0.009499999694526196,121472.72,144834.86,23362.14,1775.66,111,1,Aprovada
161,944,86,2,161,2012-09-03T03:23:39.722Z,0.02410000003874302,29096.8,49143.61,20046.81,1197.29,37,5,Em análise
162,539,47,8,162,2010-03-20T18:42:29.694Z,0.01600000075995922,29330.69,55559.82,26229.13,2214.93,15,2,Validação documentos
163,276,26,1,163,2020-06-14T09:06:33.863Z,0.016300000250339508,9110.4,16136.57,7026.17,733.08,14,4,Em análise
164,727,96,6,164,2013-01-10T12:00:15.062Z,0.017400000244379044,17590.31,27648.38,10058.07,543.56,48,2,Aprovada
165,408,72,1,165,2012-08-05T20:50:26.347Z,0.015699999406933784,63744.79,104590.46,40845.67,4092.86,18,3,Validação documentos
166,701,45,4,166,2017-10-05T05:02:13.559Z,0.018400000408291817,175259.83,228886.9,53627.07,4179.1,81,6,Validação documentos
167,834,87,9,167,2020-01-04T01:58:00.216Z,0.01640000008046627,158419.14,199131.12,40711.98,3273.82,97,2,Enviada
168,474,21,9,168,2019-04-08T13:05:04.197Z,0.019899999722838402,81552.66,151513.11,69960.45,1794.97,119,2,Aprovada
169,783,76,2,169,2019-08-30T14:21:58.318Z,0.00989999994635582,89036.09,158935.68,69899.59,1824.33,67,4,Em análise
170,73,95,2,170,2022-05-27T22:37:29.851Z,0.020500000566244125,87442.08,103694.05,16251.97,2280.32,76,3,Aprovada
171,481,40,6,171,2011-08-03T23:41:39.462Z,0.011699999682605267,47713.67,72383.55,24669.88,776.88,109,4,Aprovada
172,135,47,8,172,2017-09-21T19:38:33.334Z,0.013399999588727951,47081.26,87248.82,40167.56,1298.1,50,2,Em análise
173,17,41,8,173,2010-10-17T09:53:16.305Z,0.02329999953508377,40416.84,72342.22,31925.38,1105.07,83,5,Em análise
174,447,47,8,174,2011-04-22T06:23:14.277Z,0.010900000110268593,7421.85,9964.48,2542.63,149.3,72,6,Em análise
175,734,34,5,175,2015-08-30T19:15:16.441Z,0.00930000003427267,157431.3,200950.79,43519.49,9077.83,19,5,Aprovada
176,990,16,3,176,2012-10-20T06:36:25.072Z,0.019700000062584877,5705.63,11045.53,5339.9,128.67,106,0,Em análise
177,153,34,5,177,2015-08-31T03:09:31.601Z,0.011300000362098217,65120.89,82351.85,17230.96,8559.46,8,5,Aprovada
178,257,33,7,178,2016-07-24T13:01:40.857Z,0.009200000204145908,55798.75,81874.72,26075.97,4573.69,13,5,Aprovada
179,536,81,2,179,2011-12-16T11:47:52.674Z,0.010900000110268593,11449.32,13964.05,2514.73,176.7,113,6,Validação documentos
180,834,83,9,180,2010-01-04T12:19:08.805Z,0.012000000104308128,34905.86,63925.22,29019.36,810.27,61,5,Validação documentos
181,352,82,2,181,2021-01-13T21:22:42.930Z,0.012600000016391277,133983.24,165382.34,31399.1,6281.08,25,4,Enviada
182,49,97,10,182,2021-11-02T07:01:01.734Z,0.021800000220537186,46654.31,76131.75,29477.44,1368.88,63,4,Aprovada
183,855,60,1,183,2013-06-13T10:00:42.734Z,0.01730000041425228,142685.28,194346.54,51661.26,4589.58,45,6,Enviada
184,722,41,8,184,2017-05-31T15:58:56.902Z,0.011300000362098217,11599.92,19792.64,8192.72,296.22,52,2,Aprovada
185,939,12,9,185,2011-08-12T03:55:04.801Z,0.02419999986886978,67990.11,82316.95,14326.84,23769.02,3,2,Enviada
186,990,23,8,186,2012-01-28T14:03:56.409Z,0.012299999594688416,124261.98,185198.04,60936.06,2001.4,118,2,Aprovada
187,644,68,9,187,2021-01-21T01:41:33.515Z,0.011099999770522118,128414.89,198381.11,69966.22,2942.91,60,6,Validação documentos
188,532,21,9,188,2020-12-10T07:58:14.905Z,0.008899999782443047,97390.5,137027.79,39637.29,2789.33,42,5,Validação documentos
189,299,57,4,189,2013-09-30T06:54:35.407Z,0.014100000262260437,16376.35,25089.82,8713.47,5613.44,3,6,Validação documentos
190,224,88,6,190,2018-07-29T23:58:42.648Z,0.02419999986886978,71359.37,88061.99,16702.62,6463.45,13,2,Enviada
191,126,66,9,191,2016-04-09T06:16:38.984Z,0.021900000050663948,133978.19,219194.84,85216.65,4774.85,44,2,Em análise
192,688,40,6,192,2016-07-18T04:21:40.444Z,0.01850000023841858,22245.37,39931.85,17686.48,484.94,103,2,Aprovada
193,41,82,2,193,2012-12-14T03:43:31.207Z,0.023000000044703484,34147.92,58525.51,24377.59,1995.27,22,5,Em análise
194,768,82,2,194,2022-04-29T09:28:07.472Z,0.015699999406933784,138180.93,221394.25,83213.32,3608.98,59,1,Aprovada
195,465,55,5,195,2016-02-29T20:28:06.444Z,0.02280000038444996,12500.57,17972.97,5472.4,608.92,28,3,Enviada
196,698,38,8,196,2012-05-02T17:09:49.037Z,0.009100000374019146,109817.08,130124.13,20307.05,1628.34,105,2,Em análise
197,413,93,9,197,2015-03-07T02:42:56.719Z,0.02199999988079071,107257.49,189448.39,82190.9,5461,26,6,Validação documentos
198,415,44,6,198,2019-05-17T06:08:15.062Z,0.016499999910593033,79008.03,122804.16,43796.13,1990.76,65,1,Em análise
199,74,33,7,199,2011-02-16T05:15:00.523Z,0.020800000056624413,89126,177292.9,88166.9,2319.41,78,5,Validação documentos
200,899,61,1,200,2011-06-23T08:28:01.567Z,0.019099999219179153,28174.98,43979.55,15804.57,997.25,41,2,Enviada
201,892,14,7,201,2010-04-14T23:42:42.212Z,0.023900000378489494,66869.77,133515.68,66645.91,2217.59,54,3,Validação documentos
202,760,43,5,202,2017-03-02T10:38:39.032Z,0.016899999231100082,166751.03,202623.23,35872.2,18264,10,4,Aprovada
203,126,16,3,203,2015-06-02T22:50:43.368Z,0.019300000742077827,43333.86,76430.93,33097.07,3014.35,17,5,Aprovada
204,457,13,3,204,2019-09-22T15:55:19.597Z,0.01720000058412552,50359.45,92378.58,42019.13,1282.24,66,3,Aprovada
205,309,85,2,205,2010-04-12T08:09:42.357Z,0.014000000432133675,169869.25,211794.64,41925.39,5575.12,40,6,Validação documentos
206,804,39,1,206,2013-05-26T16:48:33.475Z,0.011800000444054604,22949.26,30423.04,7473.78,448.23,79,5,Enviada
207,838,54,6,207,2017-02-02T07:06:04.762Z,0.008799999952316284,90103.53,154144.37,64040.84,1747.75,69,3,Validação documentos
208,98,65,9,208,2020-12-26T17:02:45.275Z,0.019899999722838402,62252.93,101959.23,39706.3,1469.36,94,6,Em análise
